1171274	0	NM_ correspond	1	NM_020813		11	10	chr19	F	56494266	20	16858165	56494169	56494268	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171277	0	NM_ correspond	1	NM_020813		9	8	chr19	F	56501501	5	16858165	56501501	56501501	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171270	0	NM_ correspond	1	NM_020813		12	11	chr19	F	56485902	1	16858165	56485902	56485902	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171239	0	NM_ correspond	1	NM_020813		14	13	chr19	F	56478122	466	16858165	56477526	56478274	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171215	0	NM_ correspond	1	NM_020813		15	14	chr19	F	56476753	3	16858165	56476753	56476753	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171265	0	NM_ correspond	1	NM_020813		13	12	chr19	F	56484730	27	16858165	56484720	56484926	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1171276	0	NM_ correspond	1	NM_020813		10	9	chr19	F	56495206	6	16858165	56495206	56495206	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1185220	0	NM_ correspond	5	NM_001080409		2	2	chr19	R	22818660	1	16858165	22818660	22818660	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1185222	0	NM_ correspond	5	NM_001080409		1	1	chr19	R	22827448	3	16858165	22827447	22827448	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
490835	0	NM_ correspond	8	NM_001079846,NM_004380		1	1	chr16	R	3906242	1	16858165	3906242	3906242	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
490835	0	NM_ correspond	8	NM_001079846,NM_004380		1	1	chr16	R	3906242	1	16858165	3906242	3906242	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
901388	0	NM_ correspond	9	NM_018471		10	3	chr2	F	186456176	6	16858165	186456176	186456176	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
463618	0	NM_ correspond	11	NM_024524		2	2	chr3	R	194482661	5	16858165	194482246	194482661	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
463619	0	NM_ correspond	11	NM_024524		1	1	chr3	R	194490706	8	16858165	194490706	194490706	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
463616	0	NM_ correspond	11	NM_024524		3	3	chr3	R	194478720	2	16858165	194478720	194478720	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
463615	0	NM_ correspond	11	NM_024524		4	4	chr3	R	194475918	4	16858165	194475918	194475918	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
463614	0	NM_ correspond	11	NM_024524		5	5	chr3	R	194474957	10	16858165	194474641	194474957	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
97101	0	NM_ correspond	15	NM_031431		14	9	chr13	F	45422402	1	16858165	45422402	45422402	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
97100	0	NM_ correspond	15	NM_031431		15	10	chr13	F	45417908	1	16858165	45417908	45417908	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
97102	0	NM_ correspond	15	NM_031431		13	8	chr13	F	45426993	6	16858165	45426993	45426993	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
13500	0	NM_ correspond	16	NM_004794		3	3	chrX	F	130141144	1	16858165	130141144	130141144	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
13501	0	NM_ correspond	16	NM_004794		2	2	chrX	F	130165823	7	16858165	130165823	130165988	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1156843	0	NM_ correspond	17	NM_001260489,NM_001260490,NM_015925,NM_205834,NM_205835		6	3	chr19	F	35228855	4	16858165	35228418	35228855	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
1156843	0	NM_ correspond	17	NM_001260489,NM_001260490,NM_015925,NM_205834,NM_205835		6	3	chr19	F	35228855	4	16858165	35228418	35228855	"InternalSwitch" Error -> Representant TSS position was rejected as being further then 5 kb from the assigned gene
